sentence_id,tense,text,purpose,certainty
46,future,It would be useful to examine the available evidence in a systematic manner and try to quantify and estimate the contribution of education and research to the development and efficiency of the financial system and the resulting direct and indirect effects on total productivity growth.,non_policy,uncertain
47,future,"As it would be issued by the central bank, the value of the digital euro would be guaranteed by the State.",economic_description,certain
48,future,Should more monetary policy impulse become necessary.,policy_action,uncertain
49,future,"But it must be ensured that if sovereignty is elevated to the EU level, so is democratic control, and that steps are taken towards the emergence of a true European identity.",policy_action,uncertain
50,future,Such support should not be in the form of extensive liquidity support or in the form of a currency hedge.,policy_action,uncertain
51,future,"So, the “failing or likely to fail” decision must neither be taken too early, nor too late.",policy_action,certain
52,future,"Real GDP in the euro area is expected to grow by 5% in 2021 and by 4.3% in 2022, well above estimated potential growth.",economic_description,certain
53,future,"Completing banking union, including the introduction of a European deposit insurance scheme and the removal of the remaining national options and discretions, would help ensure that the costs of resolution are equitably shared.",policy_action,uncertain
54,future,"Thus, nothing that I will say today is intended to have implications on our future monetary policy decisions, nor should it be interpreted as such.",non_policy,certain
55,future,The key point I want to make here is that macroeconomic imbalances and unsustainable fiscal policies are the root cause of the sovereign debt crisis in the euro area.,economic_description,certain
56,future,What does it imply for the ECB?,non_policy,uncertain
57,future,"With respect to macro-level data, efforts to improve the effective coverage of the so-called shadow banking sector – i.e. of credit intermediation, liquidity and maturity transformation activities that take place outside the regulated banking system – need to be continued.",policy_action,certain
58,future,"I will also discuss the economic adjustment programmes in euro area member countries, and close with some remarks on the longer term vision for EMU.",non_policy,certain
59,future,It’s one of many joint efforts that will lead to the successful launch of the euro in Slovakia.,policy_action,certain
60,future,"I would conclude that the euro and its guardian, the ECB, have made a solid contribution to low and stable borrowing conditions, and – through that channel – to moderate fluctuations and economic prosperity.",economic_description,certain
61,future,"I will elaborate more on this, as well as on the new measures that the ECB announced on 6 October, in a moment.",non_policy,certain
62,future,A less restrictive framework of employment protection would go hand in hand with better unemployment benefits.,economic_description,certain
63,future,I hope that our fruitful cooperation will continue in the future.,non_policy,uncertain
64,future,The pace of private consumption will be affected by employment prospects.,economic_description,certain
65,future,"This would imply allowing for greater exchange rate flexibility, as the continuing substantial foreign exchange inflows and the persistent current account surpluses of China keep augmenting domestic monetary liquidity and increase the costs of sterilisation operations.",economic_description,uncertain
66,future,"This would likely render the economics of the SBBS as unviable, which would be very unfortunate.",economic_description,uncertain
67,future,"In this context, I would like to highlight the crucial role of the new supervisory authorities in fostering consistent and effective approaches within the colleges of supervisors.",policy_action,certain
68,future,"When banks or other agents report the raw data, the compilation of aggregates and distribution measures for monetary policy, macro-prudential and other statistical purposes can be done by the respective statisticians and be used for several purposes.",policy_action,certain
69,future,We will publish guidelines on TCFD-aligned[2] reporting for central banks.,policy_action,certain
70,future,I will then outline how we will structure our work in the investigation phase to ensure that we design a digital means of payment that is attractive to consumers.,policy_action,certain
71,future,"And if banks are not closing the gap with our supervisory expectations, we will step up our supervisory efforts correspondingly.",policy_action,certain
72,future,This solution will require the decoupling of banks’ fortunes from the funding situation of their sovereign.,policy_action,certain
73,future,Obstfeld and Rogoff famously argue that national policymakers who pursue domestically optimal stabilisation policies can come close to achieving a globally optimal solution.,economic_description,uncertain
74,future,"But some believe that this is not enough, and argue with pertinent arguments, that further enhancing the global financial safety net would provide incentives for countries to decrease their reserve holdings (see Fahri, Gourinchas and Rey, 2011).",economic_description,uncertain
75,future,The panel discussion could help identify the most pressing priorities.,policy_action,uncertain
76,future,"Second, because nobody should confuse the existence of a credible exit strategy – which can be activated at the right moment – with the decision to actually embark on that strategy.",policy_action,uncertain
77,future,"So, what should be done for the SEPA direct debit scheme?",policy_action,uncertain
78,future,I will also explain how the set of underlying policies can be unwound once the financial crisis eases or if upside risks to price stability emerge.,policy_action,certain
79,future,"Important market intermediaries, such as money market funds, could be driven out of business, as their business model loses profitability, for both domestic and foreign investors with excess liquidity may shift their investments to alternative, more profitable market segments.",economic_description,uncertain
80,future,"By contrast, a strategy of leaning against the wind could reduce moral hazard: by behaving more symmetrically, a central bank can encourage more responsible behaviour on the part of investors and make a crisis less likely.",policy_action,uncertain
81,future,But we will need to phase out these measures once the rationale for their adoption fades away and the situation normalises.,policy_action,certain
82,future,Let’s look at each of these options in turn.,non_policy,certain
83,future,"Another risk is that of a fragmented equilibrium emerging, with isolated islands of a few interoperable CBDCs that cannot interact with other CBDCs outside of their own small group.",economic_description,uncertain
84,future,"Contact with market participants will be essential for detecting important trends, such as growing financial imbalances, convergence of business models, similarities in investment strategies and innovations in financial instruments – to name just a few.",policy_action,certain
85,future,"The economic and monetary union will notably need to strengthen its tools for managing and preventing the build-up of fiscal, financial and other macroeconomic risks.",policy_action,certain
86,future,"Second, I will analyse how, in hindsight, the existing system of global governance has fared during the crisis.",non_policy,certain
87,future,and how can the financial system better align with the needs of the real economy?,non_policy,uncertain
88,future,"For these reasons, I would like to focus now on the relationship between financial sector development and economic growth, and the contribution of education to the development, efficient functioning and stability of financial markets.",non_policy,certain
89,future,The main decisions will be taken elsewhere.,non_policy,certain
90,future,"Today, I want to look ahead – to next year, to the next five years and to the three decades up to 2050, the year by which the EU has pledged to become carbon neutral under the Paris Agreement.",non_policy,certain
91,future,It should be acknowledged that the reduction of systemic risk is not an objective for central banks exclusively.,policy_action,certain
92,future,"Measures should also concentrate on insolvency regimes, debt recovery and servicing capacities with a view to improving recovery rates from NPLs.",policy_action,certain
93,future,"A heavy toll, I know, but I will believe that the CMU project is possible when I see authorities start making inroads in some of those difficult issues.",policy_action,uncertain
94,future,"Further collateral management harmonisation work will cover, for example, bilateral collateral management and margin calls.",policy_action,certain
95,future,This would make a significant contribution to raising awareness of emerging financial system imbalances at an earlier stage and devising effectively coordinated public sector action to address them.,policy_action,uncertain
96,future,"Although this outlook remains subject to a high degree of uncertainty, we expect the euro area economy to recover at a gradual pace in 2010.",economic_description,uncertain
97,future,This will very much depend on the ability of all concerned parties – both public and private - to draw the right lessons and thoroughly implement them.,economic_description,uncertain
98,future,"Furthermore, the use of money would become expressly or implicitly onerous.",economic_description,uncertain
99,future,I would like to make a brief reference to these two points.,non_policy,certain
100,future,Keynesian ‘animal spirits’ may select one of these as ‘the’ equilibrium which will ultimately prevail.,economic_description,uncertain
101,past,"In a crisis period where confidence is of the essence, it would be extremely damaging if the authorities were to hesitate, demonstrate an absence of resolve and of the fortitude that is required by the circumstances.",policy_action,certain
102,past,"To wait, as some had suggested, until the necessary conditions were created for a more complete fiscal and political integration before proceeding to monetary integration?",policy_action,uncertain
103,past,"It was the Austrian economist Joseph Schumpeter who stated that “a nation’s monetary system is a reflection of everything that the nation wants, suffers and is.",economic_description,certain
104,past,"As banks can only make use of the ECB liquidity-providing facilities if they have sufficient collateral, the ECB also extended the list of assets it accepts as collateral.",policy_action,certain
105,past,"Conversely, in emerging economies, growth has remained relatively robust.",economic_description,certain
106,past,"This, in turn, would have seriously hampered the monetary policy transmission mechanism and ultimately curtailed the expansion of credit to firms and households in the euro area.",economic_description,uncertain
107,past,"Economic and monetary developments Looking back to 2004, the ECB’s monetary policy operated in an environment of gradual economic recovery and subdued domestic inflationary pressures in the euro area.",economic_description,certain
108,past,"Overall, the degree of dispersion in the upward movement of services prices across the euro area countries has been higher than that observed for the Harmonised Index of Consumer Prices (HICP) as a whole.",economic_description,certain
109,past,"Overnight, the purchasing power of the Deutsche Mark could be something enjoyed by all Germans.",economic_description,uncertain
110,past,"This led to the G20 Data Gaps initiative, which recommended improvements in both RRE and CRE statistics.",policy_action,certain
111,past,We have already learnt from past experience that crisis management and resolution calls for incredibly quick decisions.,policy_action,certain
112,past,"As a consequence of this generalised easing in financing conditions, our measures have had substantial macroeconomic effects.",economic_description,certain
113,past,"We broke through the zero bound by lowering our deposit rate into negative territory, launched our targeted longer-term refinancing operations (TLTROs) to provide incentives for banks to lend, and implemented a large-scale asset purchase programme (APP) of public and private securities.",policy_action,certain
114,past,This common response reflected the realisation that all policy areas needed to act together to combat this unprecedented shock.,policy_action,certain
115,past,"Misguided economic and fiscal policies, lack of structural reforms: all these policies undermined the sustainability of public debt and created a very large competitiveness gap.",economic_description,certain
116,past,"However, the financial crisis has demonstrated that financial integration cannot be taken for granted: the process of financial integration was brought to a halt and even reversed in some market segments.",economic_description,certain
117,past,"However, the crisis demonstrated that a highly integrated and developed financial system does not always and necessarily strengthen financial stability.",economic_description,certain
118,past,"In Latin America too, some appreciation of the exchange rates would be expected to accompany the recovery and stem excessive capital inflows.",economic_description,certain
119,past,"However, between 1999 and 2001 in particular, cross-border banking consolidation increased in both absolute and relative terms.",economic_description,certain
120,past,Keynes was not in favour of systematic government intervention in the economy under all circumstances and all states of the world.,economic_description,certain
121,past,The deteriorated access to capital market financing during the financial turmoil contributed significantly to the tightening of credit standards.,economic_description,certain
122,past,"Risks and mitigants A central bank which promises to maintain interest rates low for a prolonged period entails some risks, a point which economic theory has started to acknowledge and address.",economic_description,uncertain
123,past,"[Slide 10: Role as a catalyst] For the euro area to transform itself into a fully integrated domestic payments area, a Single Euro Payments Area, the ECB has always taken the view that market participants themselves are best placed to find the most appropriate solutions.",policy_action,certain
124,past,"In the meantime, the IMF has brought financial sector issues to the forefront of its work, and they are now regularly included in consultations.",policy_action,certain
125,past,Would this have prevented the financial crisis?,non_policy,uncertain
126,past,Wilhelm von Humboldt himself was deeply engaged with the question of how to create the conditions for individuals to flourish within a society.,economic_description,certain
127,past,"Risk warnings about fragilities related to foreign currency lending, about particularly highly leveraged sectors in some countries, or overvaluation in a number of EU housing markets could have been louder.",policy_action,certain
128,past,"In my view, it has been the first serious attempt to consider the global financial system as a truly single system, an integrated structural entity where it is of major importance for each institution or authority – whether the IMF or the Basel Committee on Banking Supervision or the International Accounting Standards Board, for instance – to be fully aware of the systemic implications of its own orientations and decisions.",policy_action,certain
129,past,They were responsible for delivering an assessment and recommendations on areas that could be further improved.,policy_action,certain
130,past,"These interventions have served to shore up savers’ confidence in the financial sector and, ultimately, of the currency.",economic_description,certain
131,past,"As you know, fixed rate tenders suffered from overbidding in a context of upward interest rate expectations.",economic_description,certain
132,past,"Second, what role has the European Union played during the transition phase and finally how will EU enlargement affect the functioning of the EU-25 in the future?",non_policy,uncertain
133,past,"If left unaddressed, this seizing up would have rendered the refinancing of many bank assets impossible, risking a massive and disorderly deleveraging by credit institutions.",economic_description,uncertain
134,past,"This would have been uncharacteristic and overly granular for the ESCB Statute, which is primary law and gives the ECB broad discretion in the exercise of its monetary mandate, and it would have violated the ECB’s functional independence.",policy_action,uncertain
135,past,The new fixed rate full allotment tender procedure was designed to ensure the effectiveness of monetary policy transmission at a time when borrowing through interbank transactions had become abnormally elevated for many financial institutions.,policy_action,certain
136,past,"This type of question, usually asked by enthusiasts of counterfactual history, has always been very intriguing.",non_policy,uncertain
137,past,"The mix of mobile capital, rigid labour and fiscal underperformance left the euro area vulnerable to a sudden malfunctioning of financial markets.",economic_description,certain
138,past,"In ‘The Economic Consequences of the Peace’ (1919) he warned against adopting the traditional practice of peace treaties – namely, extracting huge reparations from the defeated countries, without taking into account the general economic situation and the burden that this would also impose on the victorious countries.",economic_description,certain
139,past,"Initially, we judged the main barrier to higher inflation to be impairments in the monetary transmission process that were preventing our policy from gaining traction in the economy.",policy_action,certain
140,past,"Hence, the questions posed in the title of my talk.",non_policy,certain
141,past,The first is: how did the new European monetary regime successfully impose itself in the broad perceptions of the public?,non_policy,uncertain
142,past,“Statistical errors” were once something in which only specialists were really interested.,economic_description,certain
143,past,"To be sure, government support measures helped to reduce market perceptions of banks’ default risk, as reflected by patterns in CDS spreads, for example.",policy_action,certain
144,past,"In the past, shocks in advanced economies often caused enduring drags on emerging economies.",economic_description,certain
145,past,5] Portugal’s economy was hit even harder.[,economic_description,certain
146,past,"Until a few years ago, the policy dialogue between the IMF and its members took place in a context of full confidentiality.",policy_action,certain
147,past,"Nevertheless, a number of considerable risks remain, some of which might even have increased.",economic_description,uncertain
148,past,"And, of course, the euro has eliminated, once and for all, the intra-euro area exchange rate volatility.",economic_description,certain
149,past,"The recent experience, the ongoing policy debate and economic research converge on the need for greater transparency, reduced financial product complexity, improved corporate governance and more effective risk management.",policy_action,certain
150,past,Many governments have already made significant steps and the efforts must continue unabated.,policy_action,certain
151,past,"Between 1999 and 2008, the number of people employed in the euro area increased by more than 16 million – significantly more than in the US during the same period.",economic_description,certain
152,past,This was higher than expected.,economic_description,certain
153,past,"Those prices eventually underwent a correction, causing individuals and companies to default on their obligations.",economic_description,certain
154,past,The cross-country standard deviation of unsecured lending rates decreased essentially to zero immediately after the introduction of the euro.,economic_description,certain
155,past,"In that context, despite relatively strong headline growth rates in the first decade of EMU, the euro area’s potential growth rate in fact fell continuously throughout the 2000s.",economic_description,certain
156,past,"Banks and non-banks were able not only to sell loans, but also to place them fully off-balance sheet as soon as they had been granted.",economic_description,certain
157,past,"Third, the high profitability of banks contributed to the bolstering of their balance sheets.",economic_description,certain
158,past,"Nevertheless, in October, pre-emptive action took place to forestall the build-up of an inflationary potential in the delicate phase of transition to monetary union.",policy_action,certain
159,past,"Cross-correlations of business cycles (in particular industrial output) have been quite high between the larger euro area countries[4] over the past decade, although business cycles have also tended to be more synchronised across the world.",economic_description,certain
160,past,New market segments have also experienced rapid growth.,economic_description,certain
161,past,"My intervention took place a few months before the collapse of Lehman Brothers, which marked the peak of the global financial crisis.",economic_description,certain
162,past,These discussions focused on the scenario of a cyber attack on financial infrastructures that resulted in a loss of data integrity and broader knock-on effects.,policy_action,certain
163,past,We have had to ward off risks that were corroding the integrity of money both over time – price stability – and across space – within the euro area – especially when doubts arose about some countries’ membership of the area.,policy_action,certain
164,past,"The euro area’s 300 million inhabitants benefited immediately from the best yield curve, possible financial environment.",economic_description,certain
165,past,In some cases the existence of positive inflation differentials is the natural consequence for an economy that has been outperforming the average in terms of cost competitiveness and reached rather low levels of unemployment.,economic_description,certain
166,past,"During these times, another trend became noticeable: the transfer of an increasing amount of new tasks to national central banks.",non_policy,certain
167,past,"It came hot on the heels of a first move towards greater coordination in the financial sector through the establishment of European agencies for bank, insurance and securities and markets, in which Alexander Lamfalussy played an important role.",economic_description,certain
168,past,"In that region, he had encountered a brewing milieu of industrialists, ready to go from craftsmanship to a new, modern, model of industrial organisation.",economic_description,certain
169,past,"In March we adjusted our forward guidance on the key ECB interest rates, our main instrument, while announcing some other measures to preserve favourable lending conditions and the smooth transmission of monetary policy.",policy_action,certain
170,past,January 28th of this year was a remarkable day with the launch of SEPA and the SEPA Credit Transfer (SCT) being ready on time.,policy_action,certain
171,past,"Over the last 20 years, central and eastern Europe has become an integral part of a European Union which has grown ever closer over time.",economic_description,certain
172,past,The importance of independence for sheltering the decision-making body of a central bank from all forms of interference has proven key in securing the trust of the public and in anchoring inflation expectations in the long run.,policy_action,certain
173,past,"Key factors in creating this risk were opaque financial structures, particularly vulnerability to contagion and domino effects, and pro-cyclicality in financial markets.",economic_description,certain
174,past,"It was the reflection of a common understanding that fiscal rules are essential not only to contain domestic deficit biases, but also to protect against cross-country externalities and adverse incentives within the Union.",policy_action,certain
175,past,"A combination of historically low interest rates and stagnant or declining output levels has heightened concerns that central banks’ policies of liquidity provisions may be ineffective and futile, as banks amass “idle” cash rather than lend it out.",economic_description,certain
176,past,"Fifth, the decision to rapidly finalise the legislative package on the strengthening of the stability and growth pact and the new macro economic surveillance framework and, in particular, the support to the Polish Presidency to reach an agreement with the European Parliament on voting rules in the preventive arm of the pact.",policy_action,certain
177,past,"The PRISMA network was set up in 2018 to deepen the understanding of price-setting behaviour and inflation dynamics in the EU by collecting and studying various types of microdata, including data underlying official price indices such as the Consumer Price Index (CPI) and the Producer Price Index (PPI), scanner data and online prices, covering the period from 2011 until 2017.",policy_action,certain
178,past,"Specifically, we decided last June on a new conditionality formula for our forward guidance that – by and large – mirrored the one we had used for steering APP expectations.",policy_action,certain
179,past,"During the 1980s, aggregate output growth in the euro area was on average about 0.5 percentage point lower than the US rate of growth.",economic_description,certain
180,past,And it was time.,non_policy,certain
181,past,Neither central banks nor financial markets have been particularly good at forecasting inflation over the past decade.,economic_description,certain
182,past,"The academic literature, as well as experiences in a number of countries (such as Ireland and Greece in the 1990s), have highlighted that fiscal contractions might have favourable effects on economic activity, in contrast to the predictions of traditional Keynesian theory.",economic_description,certain
183,past,"Thus, incentives were set inappropriately.",non_policy,certain
184,past,The integration of money markets enabled a smooth implementation of the single monetary policy from early January 1999.,policy_action,certain
185,past,"When the Bretton Woods system was launched, in the second half of the 1940s, the huge economic gap with the United States made it difficult for other countries to acquire dollars without US help.",economic_description,certain
186,past,"Second, financial markets were in certain cases affected by misaligned incentives related to the increased adoption of the ‘originate to distribute’ model.",economic_description,certain
187,past,The June 2015 Five Presidents’ report presented the outline of a roadmap to that effect; the European Commission’s reflection paper on the deepening of EMU further developed the contours of a roadmap.,non_policy,certain
188,past,"[8] However, that is not to say that the challenges posed by income distribution are not among the highest priorities of most emerging market countries.",economic_description,certain
189,past,"[1] During the ten years before the introduction of the single currency, this measure of dispersion stood at around 2.9 percentage points.",economic_description,certain
190,past,"Evidently, each of them expected, or hoped, to beat the others to a chair.",non_policy,certain
191,past,"Seen from a more philosophical perspective, the ECB employed the trust euro area citizens have in the institution and its currency to overcome a situation in which trust was scarce and badly needed.",policy_action,certain
192,past,"More specifically, the data at the euro area level pointed to some limited moderation in the flow of financing to non-financial corporations stemming from developments in the issuance of debt securities and equity, which did not, however, provide scope for material substitution effects.",economic_description,certain
193,past,The ECB therefore recommended referring only to Article 14.2 of the Statute of the ESCB when stating the reasons for dismissal of a board member.,policy_action,certain
194,past,2] It appeared that the anchoring of inflation and inflation expectations is primarily a matter of delegating monetary policy to an independent central bank with one overriding long-term objective: the maintenance of price stability.,economic_description,certain
195,past,"Third, the ECB continued to conduct USD term auction facilities (TAF) in cooperation with the US Fed and other central banks.",policy_action,certain
196,past,"With hindsight, it can now be seen that some of the factors driving growth in the past also sowed the seeds for the crisis.",economic_description,certain
197,past,"In 1991, Hans Tietmeyer, the former President of the Bundesbank, remarked that “monetary union is not just a technical matter.",economic_description,certain
198,past,"This implies for instance, that in 2007 deposit interest rates in Germany where little more than 2percent but inflation was higher and so real deposits were negative, i.e., depositors were losing purchasing power.",economic_description,certain
199,past,Its gains in competitiveness during the last crisis helped the country enjoy strong export growth in the years leading up to the pandemic.[,economic_description,certain
200,past,"This is a remarkable accomplishment, particularly if we take into account that during this period the euro area economy was subject to a large number of adverse shocks that caused inflation to rise temporarily above 2% for fairly long periods of time.",economic_description,certain
201,present,"It is no surprise that we are having this discussion here in Berlin, which has quietly emerged as a European capital when it comes to fintech.",economic_description,certain
202,present,"Compnet’s dataset indeed relies on a research and statistical infrastructure based on collaboration among country teams, which allows for cross-country comparability.",economic_description,certain
203,present,In the last two years the environment in which we operate has changed very profoundly.,economic_description,certain
204,present,I would like to describe and explain the reasons for this strategy in the first part of my talk today.,non_policy,uncertain
205,present,I already gave you a number of illustrations in the financial markets.,non_policy,certain
206,present,"This topic is discussed in several papers presented in this workshop, including those co-authored by C.",non_policy,certain
207,present,"But as it’s tempting to regard all of them as culprits, each of them can then escape the blame, and the accusing finger turns to the system itself: it’s capitalism that’s at fault.",economic_description,certain
208,present,"Now let me speak in more detail about domestic fiscal policy and structural policies concerning financial, labour and product markets.",non_policy,certain
209,present,"This is clear from the fact that inflation is rising but growth is losing momentum in the near term, as supply disruptions constrain production and higher energy prices eat into demand.",economic_description,certain
210,present,Sentiment indicators remain in expansionary territory and are still well above long-term averages for most sectors and countries.,economic_description,certain
211,present,"At the same time, however, there are signs that banks are starting to ease their credit conditions and that efforts to support the financial system are bearing fruit.",economic_description,certain
212,present,Economists call it “moral hazard” behaviour.,non_policy,certain
213,present,"In those circumstances, the challenge is to avoid that temporary spikes in the inflation rate translate into increases in inflationary expectations.",policy_action,certain
214,present,It remains crucial that policy support is not withdrawn prematurely.,policy_action,certain
215,present,"Feedback-loop models provide a simple, yet powerful, analytical framework to illustrate some of the channels that may be at work.",economic_description,certain
216,present,The EU takes a positive and proactive stance towards innovation regardless of the diverse practices in the different regions and irrespective of the nature of the institutions involved.,policy_action,certain
217,present,You may recall that John Maynard Keynes once cautioned against such a strategy by warning that “The market can stay irrational longer than you can stay solvent.”,economic_description,certain
218,present,"On the contrary, to capture the effect of inflation differentials on investment and consumption, one needs to look at ex ante measures, computed by deflating market interest rates by the relevant expectations of inflation over the appropriate horizon.",economic_description,certain
219,present,"However, efforts are also necessary on the part of financial market participants and supervisors, given that the maintenance of financial market stability is a crucial prerequisite for monetary and macroeconomic stability.",policy_action,certain
220,present,A single market with a single currency calls for a very solid framework for handling the collegial governance of national fiscal policies and macroeconomic policies.,policy_action,certain
221,present,Let me now try to make sense of these three observations.,non_policy,certain
222,present,"[SLIDE 6] SEPA for cards means: standardisation, integration instead of current fragmentation and more competition, more choice for consumers (which schemes to use), more choice for banks (which schemes to issue and to acquire and which processors to use), more choice for retailers (which schemes to accept) and more choice for infrastructures (which schemes to process).",policy_action,certain
223,present,"People have confidence in the euro – confidence that others accept the currency, that this money is “valid” and that its stability will be sustained over the long term.",economic_description,certain
224,present,"This mainly relates to ongoing fiscal and economic adjustment in a number of euro area countries and most other advanced economies, as well as the overall outlook for the global economy.",economic_description,certain
225,present,"Our key interest rates are expected to remain at their present levels well past the end of net asset purchases, in line with our forward guidance.",policy_action,certain
226,present,"From this perspective, the ECB’s determination to act in a consistent way is beyond any doubt.",policy_action,certain
227,present,"[3] Our approach is characterised by a medium-term orientation, which recognises that – given lags in monetary policy transmission and the inevitable short-term shocks to price developments – we should not attempt to “micro-manage” price developments.",policy_action,certain
228,present,The transmission mechanism from monetary policy decisions to inflation involves the real economy.,economic_description,certain
229,present,"In some cases they can, at least from the operational point of view, when the task is assigned to central banks.",policy_action,uncertain
230,present,Introduction Macro-prudential analysis and oversight are not new tasks for central banks.,policy_action,certain
231,present,The quandary under the BW system – the lack of a credible anchor for international monetary and financial stability – continues to exist.,economic_description,certain
232,present,"Overall, monetary policy issues relating to heterogeneity in a currency union are very important, and I hope that the IPN will shed further light on them over the course of next year.",policy_action,uncertain
233,present,"However, after the initial impetus following the impression of the climax of the financial crisis, the steps to reform have been frequently criticized to have lost momentum.",economic_description,certain
